MovieTitle,ScriptLink,ProductionBudget,DomesticGross,WorldwideGross
the lego batman movie,the-lego-batman-movie.html," $80,000,000"," $175,750,384"," $175,750,384"
batman returns,batman-returns.html," $80,000,000"," $162,833,635"," $162,833,635"
the mummy,the-mummy.html," $80,000,000"," $155,385,488"," $155,385,488"
something's gotta give,something's-gotta-give.html," $80,000,000"," $124,685,242"," $124,685,242"
face/off,face/off.html," $80,000,000"," $112,276,146"," $112,276,146"
just go with it,just-go-with-it.html," $80,000,000"," $103,028,109"," $103,028,109"
eagle eye,eagle-eye.html," $80,000,000"," $101,440,743"," $101,440,743"
cold mountain,cold-mountain.html," $80,000,000"," $95,632,614"," $95,632,614"
the book of eli,the-book-of-eli.html," $80,000,000"," $94,835,059"," $94,835,059"
the haunting,the-haunting.html," $80,000,000"," $91,188,905"," $91,188,905"
fury,fury.html," $80,000,000"," $85,817,906"," $85,817,906"
the day the earth stood still,the-day-the-earth-stood-still.html," $80,000,000"," $79,366,978"," $79,366,978"
swordfish,swordfish.html," $80,000,000"," $69,772,969"," $69,772,969"
lost in space,lost-in-space.html," $80,000,000"," $69,117,629"," $69,117,629"
the manchurian candidate,the-manchurian-candidate.html," $80,000,000"," $65,948,711"," $65,948,711"
the time machine,the-time-machine.html," $80,000,000"," $56,684,819"," $56,684,819"
mighty joe young,mighty-joe-young.html," $80,000,000"," $50,632,037"," $50,632,037"
the legend of zorro,the-legend-of-zorro.html," $80,000,000"," $45,575,336"," $45,575,336"
little nicky,little-nicky.html," $80,000,000"," $39,442,871"," $39,442,871"
surrogates,surrogates.html," $80,000,000"," $38,577,772"," $38,577,772"
the wild,the-wild.html," $80,000,000"," $37,384,046"," $37,384,046"
thirteen days,thirteen-days.html," $80,000,000"," $34,566,746"," $34,566,746"
nine,nine.html," $80,000,000"," $19,676,965"," $19,676,965"
the postman,the-postman.html," $80,000,000"," $17,650,704"," $17,650,704"
red planet,red-planet.html," $80,000,000"," $17,480,890"," $17,480,890"
arthur et les minimoys,arthur-et-les-minimoys.html," $80,000,000"," $15,132,763"," $15,132,763"
the lion king,the-lion-king.html," $79,300,000"," $421,785,283"," $421,785,283"
despicable me 2,despicable-me-2.html," $76,000,000"," $368,065,385"," $368,065,385"
the adventures of rocky & bullwinkle,the-adventures-of-rocky-&-bullwinkle.html," $76,000,000"," $26,000,610"," $26,000,610"
the secret life of pets,the-secret-life-of-pets.html," $75,000,000"," $368,384,330"," $368,384,330"
independence day,independence-day.html," $75,000,000"," $306,169,255"," $306,169,255"
despicable me 3,despicable-me-3.html," $75,000,000"," $264,624,300"," $264,624,300"
the lost world: jurassic park,the-lost-world:-jurassic-park.html," $75,000,000"," $229,086,679"," $229,086,679"
x-men,x-men.html," $75,000,000"," $157,299,717"," $157,299,717"
wanted,wanted.html," $75,000,000"," $134,508,551"," $134,508,551"
the rock,the-rock.html," $75,000,000"," $134,069,511"," $134,069,511"
the terminal,the-terminal.html," $75,000,000"," $77,073,959"," $77,073,959"
constantine,constantine.html," $75,000,000"," $75,976,178"," $75,976,178"
life,life.html," $75,000,000"," $64,062,587"," $64,062,587"
spanglish,spanglish.html," $75,000,000"," $42,044,321"," $42,044,321"
hostage,hostage.html," $75,000,000"," $34,636,443"," $34,636,443"
flight of the phoenix,flight-of-the-phoenix.html," $75,000,000"," $21,009,180"," $21,009,180"
soldier,soldier.html," $75,000,000"," $14,623,082"," $14,623,082"
monkeybone,monkeybone.html," $75,000,000"," $5,409,517"," $5,409,517"
unbreakable,unbreakable.html," $73,243,106"," $94,999,143"," $94,999,143"
sphere,sphere.html," $73,000,000"," $37,068,294"," $37,068,294"
funny people,funny-people.html," $72,500,000"," $51,855,045"," $51,855,045"
the kingdom,the-kingdom.html," $72,500,000"," $47,467,250"," $47,467,250"
braveheart,braveheart.html," $72,000,000"," $75,545,647"," $75,545,647"
the village,the-village.html," $71,682,975"," $114,197,520"," $114,197,520"
signs,signs.html," $70,702,619"," $227,969,295"," $227,969,295"
who framed roger rabbit?,who-framed-roger-rabbit?.html," $70,000,000"," $154,112,492"," $154,112,492"
runaway bride,runaway-bride.html," $70,000,000"," $152,257,509"," $152,257,509"
xxx,xxx.html," $70,000,000"," $141,930,000"," $141,930,000"
inglourious basterds,inglourious-basterds.html," $70,000,000"," $120,774,594"," $120,774,594"
die hard 2,die-hard-2.html," $70,000,000"," $117,323,878"," $117,323,878"
sleepy hollow,sleepy-hollow.html," $70,000,000"," $101,068,340"," $101,068,340"
vanilla sky,vanilla-sky.html," $70,000,000"," $100,614,858"," $100,614,858"
battle: los angeles,battle:-los-angeles.html," $70,000,000"," $83,552,429"," $83,552,429"
war horse,war-horse.html," $70,000,000"," $79,883,359"," $79,883,359"
big fish,big-fish.html," $70,000,000"," $66,432,867"," $66,432,867"
the lego ninjago movie,the-lego-ninjago-movie.html," $70,000,000"," $59,281,555"," $59,281,555"
the guardian,the-guardian.html," $70,000,000"," $55,011,732"," $55,011,732"
the abyss,the-abyss.html," $70,000,000"," $54,243,125"," $54,243,125"
wall street 2: money never sleeps,wall-street-2:-money-never-sleeps.html," $70,000,000"," $52,474,616"," $52,474,616"
rumor has it,rumor-has-it.html," $70,000,000"," $42,996,140"," $42,996,140"
the siege,the-siege.html," $70,000,000"," $40,934,175"," $40,934,175"
hard rain,hard-rain.html," $70,000,000"," $19,870,567"," $19,870,567"
next,next.html," $70,000,000"," $18,211,013"," $18,211,013"
hall pass,hall-pass.html," $68,000,000"," $45,060,734"," $45,060,734"
mystery men,mystery-men.html," $68,000,000"," $29,762,011"," $29,762,011"
the insider,the-insider.html," $68,000,000"," $28,965,197"," $28,965,197"
the last legion,the-last-legion.html," $67,000,000"," $5,932,060"," $5,932,060"
entrapment,entrapment.html," $66,000,000"," $87,707,396"," $87,707,396"
the x files: fight the future,the-x-files:-fight-the-future.html," $66,000,000"," $83,898,313"," $83,898,313"
need for speed,need-for-speed.html," $66,000,000"," $43,568,507"," $43,568,507"
saving private ryan,saving-private-ryan.html," $65,000,000"," $216,335,085"," $216,335,085"
lincoln,lincoln.html," $65,000,000"," $182,207,973"," $182,207,973"
apollo 13,apollo-13.html," $65,000,000"," $173,772,767"," $173,772,767"
the matrix,the-matrix.html," $65,000,000"," $171,479,930"," $171,479,930"
les miserables,les-miserables.html," $65,000,000"," $148,809,770"," $148,809,770"
total recall,total-recall.html," $65,000,000"," $119,394,839"," $119,394,839"
you've got mail,you've-got-mail.html," $65,000,000"," $115,821,495"," $115,821,495"
annie,annie.html," $65,000,000"," $85,911,262"," $85,911,262"
cliffhanger,cliffhanger.html," $65,000,000"," $84,049,211"," $84,049,211"
broken arrow,broken-arrow.html," $65,000,000"," $70,645,997"," $70,645,997"
eyes wide shut,eyes-wide-shut.html," $65,000,000"," $55,691,208"," $55,691,208"
blade: trinity,blade:-trinity.html," $65,000,000"," $52,397,389"," $52,397,389"
fight club,fight-club.html," $65,000,000"," $37,030,102"," $37,030,102"
the long kiss goodnight,the-long-kiss-goodnight.html," $65,000,000"," $33,447,612"," $33,447,612"
proof of life,proof-of-life.html," $65,000,000"," $32,598,931"," $32,598,931"
"i, frankenstein","i,-frankenstein.html"," $65,000,000"," $19,075,290"," $19,075,290"
hudson hawk,hudson-hawk.html," $65,000,000"," $17,218,916"," $17,218,916"
jurassic park,jurassic-park.html," $63,000,000"," $395,708,305"," $395,708,305"
the american president,the-american-president.html," $62,000,000"," $60,022,813"," $60,022,813"
the lego movie,the-lego-movie.html," $60,000,000"," $257,784,718"," $257,784,718"
wild hogs,wild-hogs.html," $60,000,000"," $168,213,584"," $168,213,584"
marley & me,marley-&-me.html," $60,000,000"," $143,153,751"," $143,153,751"
the green mile,the-green-mile.html," $60,000,000"," $136,801,374"," $136,801,374"
the truman show,the-truman-show.html," $60,000,000"," $125,618,201"," $125,618,201"
the bourne identity,the-bourne-identity.html," $60,000,000"," $121,468,960"," $121,468,960"
the italian job,the-italian-job.html," $60,000,000"," $106,126,012"," $106,126,012"
collateral,collateral.html," $60,000,000"," $100,170,152"," $100,170,152"
antz,antz.html," $60,000,000"," $90,757,863"," $90,757,863"
man on fire,man-on-fire.html," $60,000,000"," $77,906,816"," $77,906,816"
the family man,the-family-man.html," $60,000,000"," $75,764,085"," $75,764,085"
the horse whisperer,the-horse-whisperer.html," $60,000,000"," $75,383,563"," $75,383,563"
coraline,coraline.html," $60,000,000"," $75,286,229"," $75,286,229"
hellboy,hellboy.html," $60,000,000"," $59,623,958"," $59,623,958"
joy,joy.html," $60,000,000"," $56,451,232"," $56,451,232"
paranorman,paranorman.html," $60,000,000"," $56,003,051"," $56,003,051"
the tale of despereaux,the-tale-of-despereaux.html," $60,000,000"," $50,877,145"," $50,877,145"
the boxtrolls,the-boxtrolls.html," $60,000,000"," $50,837,305"," $50,837,305"
the tuxedo,the-tuxedo.html," $60,000,000"," $50,586,000"," $50,586,000"
vice,vice.html," $60,000,000"," $47,836,282"," $47,836,282"
alien: resurrection,alien:-resurrection.html," $60,000,000"," $47,795,018"," $47,795,018"
year one,year-one.html," $60,000,000"," $43,337,279"," $43,337,279"
star trek: nemesis,star-trek:-nemesis.html," $60,000,000"," $43,254,409"," $43,254,409"
invictus,invictus.html," $60,000,000"," $37,491,364"," $37,491,364"
intolerable cruelty,intolerable-cruelty.html," $60,000,000"," $35,327,628"," $35,327,628"
the relic,the-relic.html," $60,000,000"," $33,956,608"," $33,956,608"
almost famous,almost-famous.html," $60,000,000"," $32,522,352"," $32,522,352"
analyze that,analyze-that.html," $60,000,000"," $32,122,249"," $32,122,249"
the legend of bagger vance,the-legend-of-bagger-vance.html," $60,000,000"," $30,695,227"," $30,695,227"
priest,priest.html," $60,000,000"," $29,136,626"," $29,136,626"
event horizon,event-horizon.html," $60,000,000"," $26,673,242"," $26,673,242"
the avengers,the-avengers.html," $60,000,000"," $23,385,416"," $23,385,416"
the black dahlia,the-black-dahlia.html," $60,000,000"," $22,672,813"," $22,672,813"
deadpool,deadpool.html," $58,000,000"," $363,070,709"," $363,070,709"
american sniper,american-sniper.html," $58,000,000"," $350,126,372"," $350,126,372"
life,life.html," $58,000,000"," $30,234,022"," $30,234,022"
